identifier;titulo;autor;co_autor;orientador;data;paginas;local_publicacao;subjects;modelo_trabalho;descricao;local_defesa
00371;"Brasilianista revê mito da ""democracia racial""";Lanna, Ana Lucia Duarte;;;1998;p.8;BRASIL;RACISMO BRASIL|PRECONCEITO BRASIL|HISTÓRIA DO BRASIL;Periódico / Parte de livro;;
00857;A revisão necessária de um clássico as incoerências raciais no discurso de Gilberto Freyre;Saliba, Elias Thomé;;;2010;p. 92;BRASIL;Freyre, Gilberto 1900-1987|RACISMO BRASIL|ANTISSEMITISMO;Periódico / Parte de livro;;São Paulo
9788531412097_(Edusp);Sambistas ou arianos? a crítica racista e a higienização poética do samba nos anos 1930 e 1940;Napolitano, Marcos;;;2010;p. 421-432;BRASIL;MÚSICA POPULAR 1930-1940 BRASIL|SAMBA 1930-1940 BRASIL|RACISMO|DISCRIMINAÇÃO;Periódico / Parte de livro;;São Paulo Edusp
9788574635842;Educação, diversidades e políticas de inclusão - volume 1;Bomfim, Maria do Carmo Alves do;Boakari, Francis Musa;Neves, João Evangelista de Araújo;2013;236 p;;RELAÇÕES DE GÊNERO|SOCIOLOGIA EDUCACIONAL|PRÁTICA DE ENSINO|ENSINO FUNDAMENTAL|AFRODESCENDENTES EDUCAÇÃO|RACISMO;Livro;;Teresina
00765;Discriminação, minorias e racismo 2;Associação Nacional de Direitos Humanos, Pesquisa e Pós-graduação;Bittar, Eduardo;Goifman, Kiko;[2009];1 DVD;;DIREITOS HUMANOS|DISCRIMINAÇÃO|RACISMO|MINORIAS ÉTNICAS;Livro;;[São Paulo,
9789587196122;Debates sobre ciudadanía y políticas raciales en las Américas negras;Mosquera Rosero-Labbé, Claudia;Laó-Montes, Agustín;Rodríguez Garavito, César A;2010;988 p;Colombia;"F2299.B55 D43 2010|Blacks Colombia Politics and government|Blacks Latin America Politics and government|Blacks Colombia Social conditions|Blacks Latin America Social conditions|Blacks Government policy Colombia|Blacks Government policy Latin America|CIDADANIA AMÉRICA LATINA;COLÔMBIA|RACISMO COLÔMBIA;AMÉRICA LATINA|DISCRIMINAÇÃO RACIAL COLÔMBIA;AMÉRICA LATINA|SEGREGAÇÃO RACIAL AMÉRICA LATINA;COLÔMBIA|POLÍTICAS PÚBLICAS AMÉRICA LATINA;COLÔMBIA|NEGROS COLÔMBIA;AMÉRICA LATINA|Race discrimination Government policy Latin America|Race discrimination Government policy Colombia|Citizenship Colombia|Citizenship Latin America";Livro;1. ed;[Cali, Colombia] Universidad
00974;Gostando mais de nós mesmos 17 perguntas e respostas sobre discriminação racial e auto-estima;Ribeiro, Esmeralda;Barbosa, Marcio;Sônia Fátima;1996;40 p;BRASIL;RELAÇÕES ÉTNICAS E RACIAIS BRASIL|AFRODESCENDENTES|DISCRIMINAÇÃO RACIAL|PRECONCEITO RACIAL|RACISMO|AUTOESTIMA;Livro;;São Paulo Quilombhoje
00119;Os judeus na história da Rússia;Margulies, Marcos;;;[1971];328 p.;Soviet Union;DS135.R9 M3113 1971|Jews Soviet Union History|JUDEUS|HISTÓRIA DA RÚSSIA|RACISMO (SOCIOLOGIA)|Soviet Union History;Livro;[1. ed. brasileira];[Rio de Janeiro]
00581;O mito da purificação sanguínea no Brasil;Saliba, Elias Thomé;;;2005;p. 5;"PENÍNSULA IBÉRICA;BRASIL";"RACISMO PENÍNSULA IBÉRICA;BRASIL|DOCUMENTAÇÃO PENÍNSULA IBÉRICA|PERÍODO COLONIAL (1500-1822)";Periódico / Parte de livro;;São Paulo
00970;O estatuto da igualdade racial;Instituto de Pesquisa Econômica Aplicada;;;c2012;66 p;BRASIL;EQUIDADE BRASIL|GRUPOS ÉTNICOS BRASIL|DISCRIMINAÇÃO RACIAL|RACISMO BRASIL|NEGROS BRASIL|DIREITOS HUMANOS BRASIL;Livro;Disponível em: <http://www.ipea.gov.br/portal/images/stories/PDFs/TDs/td_1712.pdf> Acesso em: 30 jul 2013;Rio de Janeiro
00066;The marginal situation a sociological study of a coloured group;Dickie-Clark, H. F.;;;1966;ix, 226 p;Durban (South Africa);HN800.N3 D5|Colored people (South Africa)|RACISMO (SOCIOLOGIA)|Durban (South Africa) Social conditions;Livro;;London Routledge &
0521372143;Lives in between assimilation and marginality in Austria, Brazil, West Africa, 1780-1945;Spitzer, Leo;;;1989;xii, 250 p.;Austria;"DS135.A9 S65 1989|Zweig, Stefan 1881-1942|May, Joseph ca. 1817-1890|May, Cornelius d. 1939|Rebouças, André Pinto 1838-1898|Jews Cultural assimilation Austria|Blacks Cultural assimilation Africa, West|Blacks Cultural assimilation Brazil|Marginality, Social|MARGINALIDADE SOCIAL BRASIL;ÁFRICA;ÁUSTRIA|RACISMO BRASIL;ÁFRICA;ÁUSTRIA|PRECONCEITO BRASIL;ÁFRICA;ÁUSTRIA|RELAÇÕES ÉTNICAS E RACIAIS (ASSIMILAÇÃO;CULTURA;SOCIOLOGIA;HISTÓRIA) BRASIL;ÁFRICA;ÁUSTRIA|NEGROS (SOCIOLOGIA;HISTÓRIA) BRASIL;ÁFRICA;ÁUSTRIA|JUDEUS (SOCIOLOGIA;HISTÓRIA) BRASIL;ÁFRICA;ÁUSTRIA|Austria Ethnic relations|Brazil Ethnic relations|Cultural conflict, history";Livro;;Cambridge New York
00287;Identidade , cidadania e democracia algumas reflexoes sobre os discursos anti-racistas no brasil;Munanga, Kabengele;;;1996;p.17-24;;CIÊNCIAS HUMANAS|CIÊNCIAS SOCIAIS|DEMOCRACIA|RACISMO (SOCIOLOGIA);Periódico / Parte de livro;;Campinas
00115;Brancos e negros em São Paulo ensaio sociológico sôbre aspectos da formação, manifestações atuais e efeitos do preconceito de côr na sociedade paulistana;Bastide, Roger;;Fernandes, Florestan;1971;310 p;SÃO PAULO;RELAÇÕES ÉTNICAS E RACIAIS|PRECONCEITO RACIAL SÃO PAULO|NEGROS (ASPECTOS SOCIAIS) SÃO PAULO|RACISMO SÃO PAULO;Livro;3. ed.;São Paulo Nacional
9788590927709;Gênero e raça inclusão no esporte e lazer;Goellner, Silvana Vilodre;;Votre, Sebastião Josué;2009;34 p;;EDUCAÇÃO FÍSICA|LAZER|SOCIOLOGIA DO ESPORTE|GÊNEROS (GRUPOS SOCIAIS)|RACISMO|INCLUSÃO SOCIAL;Livro;;Porto Alegre Ministério
00549;Oportunidades e barreiras o negro no contexto social brasileiro e cubano;Silva, Wanderlei Clarindo da;;Melo, Dilma de;2004;95 p;"BRASIL;CUBA";"NEGROS BRASIL;CUBA|RACISMO BRASIL;CUBA|DISCRIMINAÇÃO RACIAL BRASIL;CUBA";Tese;O objetivo do trabalho é descrever e traçar um quadro comparativo entre as relações raciais no Brasil e em Cuba. Para isso, valeu-se de referências bibliográficas que discutem a temática racial nos aspectos educacionais, do trabalho e da visibilidade do negro. Buscando fazer um paralelo entre a teoria existente, foram realizadas entrevistas nas cidades de Havana (Cuba) e São Paulo (Brasil). Dessa forma, procurou-se identificar como se apresentam as oportunidades e as barreiras para os negros nas duas sociedades. Brasil e Cuba possuem muitas semelhanças no que tange à história do negro, mas as diferenças, no que se refere aos aspectos políticos, sociais e econômicos são determinantes para delinear as desigualdades. Assim, este trabalho corrobora sua hipótese, ou seja, mesmo possuindo condições equivalentes a dos brancos, os negros sofrem prejuízos raciais;São Paulo
00390;Alma brasileira;Fausto, Boris;;;2000;p. 2;;CLASSES SOCIAIS|RACISMO (SOCIOLOGIA)|TELEVISÃO;Periódico / Parte de livro;;São Paulo
00358;Cotas já! uma questão de justiça?;Soares, Paulo de Tarso Presgrave Leite;;;1996;p. 2;;RACISMO (SOCIOLOGIA);Periódico / Parte de livro;;São Paulo
00058;Relacoes raciais entre negros e brancos em s paulo ensaiosociologico sobre as origens, as manifestacoes e o..;Bastide, Roger;;Fernandes, Florestan;1955;;;RACISMO (SOCIOLOGIA);Livro;;São Paulo Unesco
00026;"Reflexões sobre o racismo I Reflexões sôbre a questão judaica; II Orfeu negro";Sartre, Jean-Paul;;Guinsburg, Jacó;1960;149 p;;JUDEUS|NEGROS|ANTISSEMITISMO|RACISMO;Livro;2. ed;São Paulo Difusão
00070;Raçaa e assimilação;Viana, Francisco Jose de Oliveira;;;1938;285 p;BRASIL;CULTURA POPULAR BRASIL|SOCIOLOGIA|RACISMO BRASIL;Livro;3. ed;São Paulo Nacional
00235;E disse o velho militante jose correa;Cuti;;;1992;301 p;BRASIL;NEGROS BRASIL|RACISMO (SOCIOLOGIA)|HISTÓRIA DO BRASIL;Livro;;São Paulo Secretaria
00187;Brasil integração de raças e nacionalidades;Rossi, Agnelo;;;1991;240 p.;Brazil;F2659.A1 R67 1991|Immigrants Brazil History|RACISMO BRASIL|Brazil Race relations|Brazil Ethnic relations;Livro;1a ed;São Paulo, SP
00005;Raza ciencia y política;Benedict, Ruth;;Champourcín, Ernestina de;[1941];2 p. ¾., [7]-209 p., 3 ¾;;Race relations|Race|ANTROPOLOGIA|ETNOGRAFIA|RACISMO (SOCIOLOGIA);Livro;"""Primera edición española.""";México Fondo de
0521324823_;Writings The suppression of the African slave trade, The souls of black folk, Dusk of dawn, essays and articles;Du Bois, W. E. B. 1868-1963 (William Edward Burghardt);;;c1986;1334 p.;United States;E184.A1|Racism United States History|ENSAIO LITERÁRIO AMÉRICA DO NORTE|RACISMO (SOCIOLOGIA)|United States Racism, to 1970;Livro;;Cambridge Press Sydicate
00052;Raça e ciência I;Ruhman, Dora;"Comas, Juan; Fonseca, Fernando dos Santos; Souza, Geraldo Gerson de; Barros, Mary Amazonas Leite de";Miyashiro, Alice K.;1970;2 v;;GN320 .U5265|Race|RELAÇÕES ÉTNICAS E RACIAIS|PRECONCEITO RACIAL|ETNOCENTRISMO|DIVERSIDADE CULTURAL|TEORIA CIENTÍFICA|ETNOLOGIA|RACISMO;Livro;Vários autores;São Paulo Perspectiva
9788535920574;Black into white Portuguese;Skidmore, Thomas E;Schwarcz, Lilia Moritz;Garschagen, Donaldson Magalhaes;2012;393 p;Brazil;F2659.A1 S5519 2012|Nationalism Brazil|RACISMO (SOCIOLOGIA) BRASIL|NEGROS BRASIL|RELAÇÕES ÉTNICAS E RACIAIS BRASIL|Brazil Race relations|Brazil Ethnic relations;Livro;Cronologia;São Paulo Companhia
8430926038;Crece el racismo, también la solidaridad los valores de la juventud en el umbral del siglo XXI;Calvo Buezas, Tomás;;;c1995;1106 p;Spain;HQ799.S7 C35 1995|Youth Spain Attitudes|Racism Spain Public opinion|Public opinion Spain|IDENTIDADE ÉTNICA (HISTÓRIA)|RACISMO EUROPA|Spain Ethnic relations Public opinion;Livro;;Madrid Tecnos c1995
